                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2717,                 5.5084,                 4.2647,                0.00161,                    0.5,                0.03755,                0.00838,                 2.2733,                 13.127,                 3.1199,             0.00048343,             0.00048343,             0.00048343
                      2,                 2.9603,                  4.954,                 4.1188,                 0.0009,                    0.5,                0.03731,                0.01024,                 2.3402,                 12.588,                  3.159,             0.00098028,             0.00098028,             0.00098028
                      3,                 2.9649,                 4.1642,                  3.992,                0.00088,                    0.5,                0.02073,                0.00487,                 2.6053,                 11.684,                 3.2966,              0.0014738,              0.0014738,              0.0014738
                      4,                 2.7104,                 4.3784,                  3.883,                0.00293,                    0.5,                0.16032,                0.04129,                 2.3581,                 8.8067,                 3.2298,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.6232,                 3.9511,                 3.8105,                0.00186,                    0.5,                0.01057,                0.00392,                 2.3324,                 8.4654,                 3.2273,               0.001645,               0.001645,               0.001645
                      6,                 2.6139,                 3.9671,                  3.739,                0.00093,                    0.5,                0.00663,                0.00353,                 2.1394,                 9.4139,                 3.1171,              0.0016395,              0.0016395,              0.0016395
                      7,                 2.7474,                 4.3177,                 3.6774,                0.61476,                0.04167,                0.02751,                 0.0062,                 2.0012,                 10.356,                 3.0181,               0.001634,               0.001634,               0.001634
                      8,                 2.5231,                 4.7115,                  3.376,                0.53372,                0.20833,                  0.026,                0.00749,                 1.8572,                 14.934,                 2.7443,              0.0016285,              0.0016285,              0.0016285
                      9,                 2.4451,                 3.8353,                 3.4134,                0.00276,                    0.5,                0.11741,                0.04249,                 1.7326,                 11.905,                 2.5665,               0.001623,               0.001623,               0.001623
                     10,                 2.2518,                 4.8132,                 3.1617,                0.51727,                  0.375,                0.02748,                0.00847,                  1.992,                 15.192,                 2.6348,              0.0016175,              0.0016175,              0.0016175
                     11,                 2.3883,                 3.6539,                 3.1809,                0.51825,                0.04167,                0.05881,                0.02342,                 1.8921,                 12.047,                 2.4896,               0.001612,               0.001612,               0.001612
                     12,                 2.3769,                  3.554,                 3.1402,                0.81432,                0.33333,                0.30537,                0.13875,                 1.7573,                 14.122,                 2.3018,              0.0016065,              0.0016065,              0.0016065
                     13,                 2.2864,                 4.2758,                 3.0119,                0.58527,                  0.375,                0.08339,                0.02162,                 1.8869,                 15.592,                 2.4033,               0.001601,               0.001601,               0.001601
                     14,                  2.199,                 3.8968,                 2.8434,                 0.5648,                0.33333,                0.07551,                0.02639,                 1.8543,                  14.08,                 2.3189,              0.0015955,              0.0015955,              0.0015955
                     15,                 2.3617,                 3.1703,                 2.9795,                 0.5047,                0.04167,                0.01473,                0.00358,                 1.6177,                 22.537,                 2.2935,                0.00159,                0.00159,                0.00159
                     16,                 2.1654,                  3.102,                 2.7763,                0.50333,                   0.25,                0.00427,                0.00205,                 1.7261,                 23.195,                 2.3832,              0.0015845,              0.0015845,              0.0015845
                     17,                 2.0927,                 3.0086,                 2.7815,                0.54002,                0.04167,                0.01518,                0.00633,                 1.8443,                 9.6742,                 2.5584,               0.001579,               0.001579,               0.001579
                     18,                 1.9446,                 4.2091,                 2.6044,                0.52401,                0.04167,                0.02586,                0.00749,                  2.129,                 7.3447,                 2.7394,              0.0015735,              0.0015735,              0.0015735
                     19,                 2.2286,                 3.2483,                 2.8481,                0.54259,                0.04167,                0.11262,                 0.0456,                 1.8253,                 7.4943,                  2.404,               0.001568,               0.001568,               0.001568
                     20,                 2.0986,                 3.3175,                 2.7275,                0.59262,                0.08333,                0.11676,                0.05672,                 1.7545,                 10.028,                 2.2634,              0.0015625,              0.0015625,              0.0015625
                     21,                 2.0227,                 3.0024,                 2.7513,                0.61299,                0.08333,                 0.1106,                 0.0485,                 1.6759,                 9.3436,                 2.3317,               0.001557,               0.001557,               0.001557
                     22,                 2.0205,                 3.3375,                 2.6718,                0.74529,                0.08098,                0.09922,                 0.0231,                   1.82,                 8.6607,                 2.5408,              0.0015515,              0.0015515,              0.0015515
